date,borough,mode,rides
2025-04-20,Camden,Tube,63
2025-04-21,Camden,Tube,78
2025-04-22,Camden,Tube,75
2025-04-23,Camden,Tube,88
2025-04-24,Camden,Tube,82
2025-04-25,Camden,Tube,79
2025-04-26,Camden,Tube,53
2025-04-27,Camden,Tube,54
2025-04-28,Camden,Tube,77
2025-04-29,Camden,Tube,81
2025-04-30,Camden,Tube,70
2025-05-01,Camden,Tube,85
2025-05-02,Camden,Tube,79
2025-05-03,Camden,Tube,52
2025-05-04,Camden,Tube,65
2025-05-05,Camden,Tube,86
2025-05-06,Camden,Tube,68
2025-05-07,Camden,Tube,79
2025-05-08,Camden,Tube,77
2025-05-09,Camden,Tube,87
2025-05-10,Camden,Tube,56
2025-05-11,Camden,Tube,55
2025-05-12,Camden,Tube,80
2025-05-13,Camden,Tube,66
2025-05-14,Camden,Tube,77
2025-05-15,Camden,Tube,76
2025-05-16,Camden,Tube,75
2025-05-17,Camden,Tube,63
2025-05-18,Camden,Tube,66
2025-05-19,Camden,Tube,71
2025-05-20,Camden,Tube,76
2025-05-21,Camden,Tube,71
2025-05-22,Camden,Tube,68
2025-05-23,Camden,Tube,75
2025-05-24,Camden,Tube,53
2025-05-25,Camden,Tube,58
2025-05-26,Camden,Tube,75
2025-05-27,Camden,Tube,70
2025-05-28,Camden,Tube,86
2025-05-29,Camden,Tube,73
2025-05-30,Camden,Tube,84
2025-05-31,Camden,Tube,52
2025-06-01,Camden,Tube,70
2025-06-02,Camden,Tube,75
2025-06-03,Camden,Tube,67
2025-06-04,Camden,Tube,72
2025-06-05,Camden,Tube,72
2025-06-06,Camden,Tube,75
2025-06-07,Camden,Tube,59
2025-06-08,Camden,Tube,51
2025-06-09,Camden,Tube,77
2025-06-10,Camden,Tube,72
2025-06-11,Camden,Tube,82
2025-06-12,Camden,Tube,78
2025-06-13,Camden,Tube,82
2025-06-14,Camden,Tube,58
2025-06-15,Camden,Tube,58
2025-06-16,Camden,Tube,78
2025-06-17,Camden,Tube,66
2025-06-18,Camden,Tube,69
2025-06-19,Camden,Tube,73
2025-06-20,Camden,Tube,71
2025-06-21,Camden,Tube,62
2025-06-22,Camden,Tube,64
2025-06-23,Camden,Tube,81
2025-06-24,Camden,Tube,86
2025-06-25,Camden,Tube,82
2025-06-26,Camden,Tube,83
2025-06-27,Camden,Tube,74
2025-06-28,Camden,Tube,57
2025-06-29,Camden,Tube,60
2025-06-30,Camden,Tube,83
2025-07-01,Camden,Tube,80
2025-07-02,Camden,Tube,79
2025-07-03,Camden,Tube,77
2025-07-04,Camden,Tube,76
2025-07-05,Camden,Tube,61
2025-07-06,Camden,Tube,57
2025-07-07,Camden,Tube,69
2025-07-08,Camden,Tube,83
2025-07-09,Camden,Tube,76
2025-07-10,Camden,Tube,89
2025-07-11,Camden,Tube,76
2025-07-12,Camden,Tube,56
2025-07-13,Camden,Tube,57
2025-07-14,Camden,Tube,83
2025-07-15,Camden,Tube,80
2025-07-16,Camden,Tube,69
2025-07-17,Camden,Tube,78
2025-07-18,Camden,Tube,85
2025-07-19,Camden,Tube,59
2025-07-20,Camden,Tube,59
2025-07-21,Camden,Tube,94
2025-07-22,Camden,Tube,90
2025-07-23,Camden,Tube,70
2025-07-24,Camden,Tube,81
2025-07-25,Camden,Tube,79
2025-07-26,Camden,Tube,64
2025-07-27,Camden,Tube,65
2025-07-28,Camden,Tube,82
2025-07-29,Camden,Tube,89
2025-07-30,Camden,Tube,85
2025-07-31,Camden,Tube,85
2025-08-01,Camden,Tube,88
2025-08-02,Camden,Tube,68
2025-08-03,Camden,Tube,63
2025-08-04,Camden,Tube,91
2025-08-05,Camden,Tube,88
2025-08-06,Camden,Tube,81
2025-08-07,Camden,Tube,81
2025-08-08,Camden,Tube,77
2025-08-09,Camden,Tube,62
2025-08-10,Camden,Tube,70
2025-08-11,Camden,Tube,82
2025-08-12,Camden,Tube,86
2025-08-13,Camden,Tube,77
2025-08-14,Camden,Tube,83
2025-08-15,Camden,Tube,95
2025-08-16,Camden,Tube,54
2025-08-17,Camden,Tube,63
2025-08-18,Camden,Tube,91
2025-08-19,Camden,Tube,95
2025-08-20,Camden,Tube,84
2025-08-21,Camden,Tube,92
2025-08-22,Camden,Tube,97
2025-08-23,Camden,Tube,59
2025-08-24,Camden,Tube,75
2025-08-25,Camden,Tube,92
2025-08-26,Camden,Tube,96
2025-08-27,Camden,Tube,109
2025-08-28,Camden,Tube,101
2025-08-29,Camden,Tube,90
2025-08-30,Camden,Tube,80
2025-08-31,Camden,Tube,73
2024-09-01,Camden,Bus,49
2024-09-02,Camden,Bus,71
2024-09-03,Camden,Bus,56
2024-09-04,Camden,Bus,62
2024-09-05,Camden,Bus,71
2024-09-06,Camden,Bus,67
2024-09-07,Camden,Bus,50
2024-09-08,Camden,Bus,54
2024-09-09,Camden,Bus,66
2024-09-10,Camden,Bus,69
2024-09-11,Camden,Bus,66
2024-09-12,Camden,Bus,70
2024-09-13,Camden,Bus,62
2024-09-14,Camden,Bus,49
2024-09-15,Camden,Bus,58
2024-09-16,Camden,Bus,72
2024-09-17,Camden,Bus,67
2024-09-18,Camden,Bus,72
2024-09-19,Camden,Bus,77
2024-09-20,Camden,Bus,73
2024-09-21,Camden,Bus,51
2024-09-22,Camden,Bus,57
2024-09-23,Camden,Bus,70
2024-09-24,Camden,Bus,70
2024-09-25,Camden,Bus,77
2024-09-26,Camden,Bus,76
2024-09-27,Camden,Bus,65
2024-09-28,Camden,Bus,51
2024-09-29,Camden,Bus,60
2024-09-30,Camden,Bus,79
2024-10-01,Camden,Bus,70
2024-10-02,Camden,Bus,77
2024-10-03,Camden,Bus,80
2024-10-04,Camden,Bus,70
2024-10-05,Camden,Bus,44
2024-10-06,Camden,Bus,61
2024-10-07,Camden,Bus,69
2024-10-08,Camden,Bus,76
2024-10-09,Camden,Bus,77
2024-10-10,Camden,Bus,73
2024-10-11,Camden,Bus,75
2024-10-12,Camden,Bus,60
2024-10-13,Camden,Bus,54
2024-10-14,Camden,Bus,78
2024-10-15,Camden,Bus,52
2024-10-16,Camden,Bus,75
2024-10-17,Camden,Bus,72
2024-10-18,Camden,Bus,86
2024-10-19,Camden,Bus,55
2024-10-20,Camden,Bus,50
2024-10-21,Camden,Bus,77
2024-10-22,Camden,Bus,76
2024-10-23,Camden,Bus,75
2024-10-24,Camden,Bus,71
2024-10-25,Camden,Bus,71
2024-10-26,Camden,Bus,60
2024-10-27,Camden,Bus,63
2024-10-28,Camden,Bus,68
2024-10-29,Camden,Bus,81
2024-10-30,Camden,Bus,84
2024-10-31,Camden,Bus,73
2024-11-01,Camden,Bus,79
2024-11-02,Camden,Bus,56
2024-11-03,Camden,Bus,59
2024-11-04,Camden,Bus,89
2024-11-05,Camden,Bus,76
2024-11-06,Camden,Bus,82
2024-11-07,Camden,Bus,87
2024-11-08,Camden,Bus,85
2024-11-09,Camden,Bus,60
2024-11-10,Camden,Bus,66
2024-11-11,Camden,Bus,77
2024-11-12,Camden,Bus,70
2024-11-13,Camden,Bus,77
2024-11-14,Camden,Bus,81
2024-11-15,Camden,Bus,78
2024-11-16,Camden,Bus,54
2024-11-17,Camden,Bus,56
2024-11-18,Camden,Bus,84
2024-11-19,Camden,Bus,73
2024-11-20,Camden,Bus,86
2024-11-21,Camden,Bus,83
2024-11-22,Camden,Bus,76
2024-11-23,Camden,Bus,54
2024-11-24,Camden,Bus,59
2024-11-25,Camden,Bus,76
2024-11-26,Camden,Bus,78
2024-11-27,Camden,Bus,83
2024-11-28,Camden,Bus,80
2024-11-29,Camden,Bus,84
2024-11-30,Camden,Bus,51
2024-12-01,Camden,Bus,61
2024-12-02,Camden,Bus,88
2024-12-03,Camden,Bus,82
2024-12-04,Camden,Bus,81
2024-12-05,Camden,Bus,76
2024-12-06,Camden,Bus,83
2024-12-07,Camden,Bus,57
2024-12-08,Camden,Bus,50
2024-12-09,Camden,Bus,64
2024-12-10,Camden,Bus,74
2024-12-11,Camden,Bus,72
2024-12-12,Camden,Bus,81
2024-12-13,Camden,Bus,68
2024-12-14,Camden,Bus,60
2024-12-15,Camden,Bus,59
2024-12-16,Camden,Bus,68
2024-12-17,Camden,Bus,71
2024-12-18,Camden,Bus,84
2024-12-19,Camden,Bus,66
2024-12-20,Camden,Bus,64
2024-12-21,Camden,Bus,49
2024-12-22,Camden,Bus,51
2024-12-23,Camden,Bus,71
2024-12-24,Camden,Bus,82
2024-12-25,Camden,Bus,79
2024-12-26,Camden,Bus,69
2024-12-27,Camden,Bus,77
2024-12-28,Camden,Bus,57
2024-12-29,Camden,Bus,46
2024-12-30,Camden,Bus,74
2024-12-31,Camden,Bus,74
2025-01-01,Camden,Bus,75
2025-01-02,Camden,Bus,67
2025-01-03,Camden,Bus,69
2025-01-04,Camden,Bus,55
2025-01-05,Camden,Bus,57
2025-01-06,Camden,Bus,82
2025-01-07,Camden,Bus,67
2025-01-08,Camden,Bus,71
2025-01-09,Camden,Bus,81
2025-01-10,Camden,Bus,78
2025-01-11,Camden,Bus,56
2025-01-12,Camden,Bus,53
2025-01-13,Camden,Bus,71
2025-01-14,Camden,Bus,66
2025-01-15,Camden,Bus,62
2025-01-16,Camden,Bus,68
2025-01-17,Camden,Bus,75
2025-01-18,Camden,Bus,52
2025-01-19,Camden,Bus,55
2025-01-20,Camden,Bus,78
2025-01-21,Camden,Bus,73
2025-01-22,Camden,Bus,71
2025-01-23,Camden,Bus,56
2025-01-24,Camden,Bus,75
2025-01-25,Camden,Bus,53
2025-01-26,Camden,Bus,44
2025-01-27,Camden,Bus,76
2025-01-28,Camden,Bus,71
2025-01-29,Camden,Bus,78
2025-01-30,Camden,Bus,67
2025-01-31,Camden,Bus,67
2025-02-01,Camden,Bus,53
2025-02-02,Camden,Bus,48
2025-02-03,Camden,Bus,70
2025-02-04,Camden,Bus,79
2025-02-05,Camden,Bus,67
2025-02-06,Camden,Bus,74
2025-02-07,Camden,Bus,69
2025-02-08,Camden,Bus,47
2025-02-09,Camden,Bus,53
2025-02-10,Camden,Bus,64
2025-02-11,Camden,Bus,68
2025-02-12,Camden,Bus,77
2025-02-13,Camden,Bus,73
2025-02-14,Camden,Bus,61
2025-02-15,Camden,Bus,59
2025-02-16,Camden,Bus,52
2025-02-17,Camden,Bus,69
2025-02-18,Camden,Bus,63
2025-02-19,Camden,Bus,64
2025-02-20,Camden,Bus,64
2025-02-21,Camden,Bus,68
2025-02-22,Camden,Bus,53
2025-02-23,Camden,Bus,52
2025-02-24,Camden,Bus,74
2025-02-25,Camden,Bus,64
2025-02-26,Camden,Bus,66
2025-02-27,Camden,Bus,56
2025-02-28,Camden,Bus,62
2025-03-01,Camden,Bus,53
2025-03-02,Camden,Bus,42
2025-03-03,Camden,Bus,62
2025-03-04,Camden,Bus,55
2025-03-05,Camden,Bus,55
2025-03-06,Camden,Bus,64
2025-03-07,Camden,Bus,52
2025-03-08,Camden,Bus,42
2025-03-09,Camden,Bus,51
2025-03-10,Camden,Bus,60
2025-03-11,Camden,Bus,60
2025-03-12,Camden,Bus,52
2025-03-13,Camden,Bus,57
2025-03-14,Camden,Bus,59
2025-03-15,Camden,Bus,43
2025-03-16,Camden,Bus,44
2025-03-17,Camden,Bus,71
2025-03-18,Camden,Bus,49
2025-03-19,Camden,Bus,62
2025-03-20,Camden,Bus,57
2025-03-21,Camden,Bus,65
2025-03-22,Camden,Bus,46
2025-03-23,Camden,Bus,42
2025-03-24,Camden,Bus,54
2025-03-25,Camden,Bus,58
2025-03-26,Camden,Bus,61
2025-03-27,Camden,Bus,60
2025-03-28,Camden,Bus,57
2025-03-29,Camden,Bus,46
2025-03-30,Camden,Bus,43
2025-03-31,Camden,Bus,57
2025-04-01,Camden,Bus,65
2025-04-02,Camden,Bus,60
2025-04-03,Camden,Bus,60
2025-04-04,Camden,Bus,61
2025-04-05,Camden,Bus,37
2025-04-06,Camden,Bus,45
2025-04-07,Camden,Bus,55
2025-04-08,Camden,Bus,51
2025-04-09,Camden,Bus,56
2025-04-10,Camden,Bus,57
2025-04-11,Camden,Bus,52
2025-04-12,Camden,Bus,35
2025-04-13,Camden,Bus,40
2025-04-14,Camden,Bus,54
2025-04-15,Camden,Bus,60
2025-04-16,Camden,Bus,47
2025-04-17,Camden,Bus,53
2025-04-18,Camden,Bus,58
2025-04-19,Camden,Bus,38
2025-04-20,Camden,Bus,38
2025-04-21,Camden,Bus,52
2025-04-22,Camden,Bus,48
2025-04-23,Camden,Bus,65
2025-04-24,Camden,Bus,52
2025-04-25,Camden,Bus,56
2025-04-26,Camden,Bus,39
2025-04-27,Camden,Bus,38
2025-04-28,Camden,Bus,58
2025-04-29,Camden,Bus,49
2025-04-30,Camden,Bus,53
2025-05-01,Camden,Bus,58
2025-05-02,Camden,Bus,54
2025-05-03,Camden,Bus,43
2025-05-04,Camden,Bus,40
2025-05-05,Camden,Bus,52
2025-05-06,Camden,Bus,57
2025-05-07,Camden,Bus,53
2025-05-08,Camden,Bus,55
2025-05-09,Camden,Bus,52
2025-05-10,Camden,Bus,37
2025-05-11,Camden,Bus,44
2025-05-12,Camden,Bus,48
2025-05-13,Camden,Bus,48
2025-05-14,Camden,Bus,53
2025-05-15,Camden,Bus,62
2025-05-16,Camden,Bus,56
2025-05-17,Camden,Bus,42
2025-05-18,Camden,Bus,44
2025-05-19,Camden,Bus,52
2025-05-20,Camden,Bus,52
2025-05-21,Camden,Bus,53
2025-05-22,Camden,Bus,43
2025-05-23,Camden,Bus,44
2025-05-24,Camden,Bus,39
2025-05-25,Camden,Bus,34
2025-05-26,Camden,Bus,47
2025-05-27,Camden,Bus,45
2025-05-28,Camden,Bus,55
2025-05-29,Camden,Bus,62
2025-05-30,Camden,Bus,53
2025-05-31,Camden,Bus,41
2025-06-01,Camden,Bus,42
2025-06-02,Camden,Bus,51
2025-06-03,Camden,Bus,53
2025-06-04,Camden,Bus,51
2025-06-05,Camden,Bus,55
2025-06-06,Camden,Bus,50
2025-06-07,Camden,Bus,42
2025-06-08,Camden,Bus,40
2025-06-09,Camden,Bus,58
2025-06-10,Camden,Bus,59
2025-06-11,Camden,Bus,49
2025-06-12,Camden,Bus,51
2025-06-13,Camden,Bus,47
2025-06-14,Camden,Bus,43
2025-06-15,Camden,Bus,44
2025-06-16,Camden,Bus,47
2025-06-17,Camden,Bus,47
2025-06-18,Camden,Bus,56
2025-06-19,Camden,Bus,46
2025-06-20,Camden,Bus,46
2025-06-21,Camden,Bus,46
2025-06-22,Camden,Bus,43
2025-06-23,Camden,Bus,54
2025-06-24,Camden,Bus,50
2025-06-25,Camden,Bus,60
2025-06-26,Camden,Bus,55
2025-06-27,Camden,Bus,58
2025-06-28,Camden,Bus,40
2025-06-29,Camden,Bus,40
2025-06-30,Camden,Bus,55
2025-07-01,Camden,Bus,65
2025-07-02,Camden,Bus,51
2025-07-03,Camden,Bus,56
2025-07-04,Camden,Bus,53
2025-07-05,Camden,Bus,37
2025-07-06,Camden,Bus,45
2025-07-07,Camden,Bus,58
2025-07-08,Camden,Bus,62
2025-07-09,Camden,Bus,52
2025-07-10,Camden,Bus,56
2025-07-11,Camden,Bus,52
2025-07-12,Camden,Bus,40
2025-07-13,Camden,Bus,40
2025-07-14,Camden,Bus,56
2025-07-15,Camden,Bus,55
2025-07-16,Camden,Bus,65
2025-07-17,Camden,Bus,51
2025-07-18,Camden,Bus,62
2025-07-19,Camden,Bus,43
2025-07-20,Camden,Bus,42
2025-07-21,Camden,Bus,61
2025-07-22,Camden,Bus,52
2025-07-23,Camden,Bus,63
2025-07-24,Camden,Bus,61
2025-07-25,Camden,Bus,59
2025-07-26,Camden,Bus,42
2025-07-27,Camden,Bus,46
2025-07-28,Camden,Bus,55
2025-07-29,Camden,Bus,55
2025-07-30,Camden,Bus,51
2025-07-31,Camden,Bus,59
2025-08-01,Camden,Bus,74
2025-08-02,Camden,Bus,43
2025-08-03,Camden,Bus,38
2025-08-04,Camden,Bus,67
2025-08-05,Camden,Bus,74
2025-08-06,Camden,Bus,64
2025-08-07,Camden,Bus,58
2025-08-08,Camden,Bus,56
2025-08-09,Camden,Bus,38
2025-08-10,Camden,Bus,43
2025-08-11,Camden,Bus,63
2025-08-12,Camden,Bus,56
2025-08-13,Camden,Bus,57
2025-08-14,Camden,Bus,61
2025-08-15,Camden,Bus,62
2025-08-16,Camden,Bus,47
2025-08-17,Camden,Bus,48
2025-08-18,Camden,Bus,72
2025-08-19,Camden,Bus,68
2025-08-20,Camden,Bus,58
2025-08-21,Camden,Bus,67
2025-08-22,Camden,Bus,58
2025-08-23,Camden,Bus,46
2025-08-24,Camden,Bus,53
2025-08-25,Camden,Bus,67
2025-08-26,Camden,Bus,65
2025-08-27,Camden,Bus,63
2025-08-28,Camden,Bus,73
2025-08-29,Camden,Bus,63
2025-08-30,Camden,Bus,48
2025-08-31,Camden,Bus,50
2024-09-01,Islington,Tube,61
2024-09-02,Islington,Tube,94
2024-09-03,Islington,Tube,87
2024-09-04,Islington,Tube,87
2024-09-05,Islington,Tube,86
2024-09-06,Islington,Tube,92
2024-09-07,Islington,Tube,69
2024-09-08,Islington,Tube,71
2024-09-09,Islington,Tube,79
2024-09-10,Islington,Tube,93
2024-09-11,Islington,Tube,97
2024-09-12,Islington,Tube,97
2024-09-13,Islington,Tube,84
2024-09-14,Islington,Tube,66
2024-09-15,Islington,Tube,72
2024-09-16,Islington,Tube,86
2024-09-17,Islington,Tube,102
2024-09-18,Islington,Tube,86
2024-09-19,Islington,Tube,97
2024-09-20,Islington,Tube,93
2024-09-21,Islington,Tube,72
2024-09-22,Islington,Tube,82
2024-09-23,Islington,Tube,86
2024-09-24,Islington,Tube,90
2024-09-25,Islington,Tube,102
2024-09-26,Islington,Tube,100
2024-09-27,Islington,Tube,95
2024-09-28,Islington,Tube,72
2024-09-29,Islington,Tube,73
2024-09-30,Islington,Tube,108
2024-10-01,Islington,Tube,83
2024-10-02,Islington,Tube,91
2024-10-03,Islington,Tube,102
2024-10-04,Islington,Tube,87
2024-10-05,Islington,Tube,66
2024-10-06,Islington,Tube,75
2024-10-07,Islington,Tube,99
2024-10-08,Islington,Tube,94
2024-10-09,Islington,Tube,95
2024-10-10,Islington,Tube,87
2024-10-11,Islington,Tube,91
2024-10-12,Islington,Tube,80
2024-10-13,Islington,Tube,69
2024-10-14,Islington,Tube,93
2024-10-15,Islington,Tube,92
2024-10-16,Islington,Tube,106
2024-10-17,Islington,Tube,95
2024-10-18,Islington,Tube,92
2024-10-19,Islington,Tube,81
2024-10-20,Islington,Tube,62
2024-10-21,Islington,Tube,98
2024-10-22,Islington,Tube,102
2024-10-23,Islington,Tube,98
2024-10-24,Islington,Tube,101
2024-10-25,Islington,Tube,107
2024-10-26,Islington,Tube,64
2024-10-27,Islington,Tube,69
2024-10-28,Islington,Tube,95
2024-10-29,Islington,Tube,100
2024-10-30,Islington,Tube,105
2024-10-31,Islington,Tube,103
2024-11-01,Islington,Tube,87
2024-11-02,Islington,Tube,82
2024-11-03,Islington,Tube,68
2024-11-04,Islington,Tube,98
2024-11-05,Islington,Tube,107
2024-11-06,Islington,Tube,104
2024-11-07,Islington,Tube,114
2024-11-08,Islington,Tube,106
2024-11-09,Islington,Tube,83
2024-11-10,Islington,Tube,73
2024-11-11,Islington,Tube,107
2024-11-12,Islington,Tube,89
2024-11-13,Islington,Tube,107
2024-11-14,Islington,Tube,99
2024-11-15,Islington,Tube,104
2024-11-16,Islington,Tube,72
2024-11-17,Islington,Tube,76
2024-11-18,Islington,Tube,93
2024-11-19,Islington,Tube,95
2024-11-20,Islington,Tube,104
2024-11-21,Islington,Tube,96
2024-11-22,Islington,Tube,107
2024-11-23,Islington,Tube,78
2024-11-24,Islington,Tube,70
2024-11-25,Islington,Tube,87
2024-11-26,Islington,Tube,81
2024-11-27,Islington,Tube,96
2024-11-28,Islington,Tube,104
2024-11-29,Islington,Tube,107
2024-11-30,Islington,Tube,74
2024-12-01,Islington,Tube,70
